!SIL    1.0	sil
<SPN>   1.0	spn
<UNK>   1.0	unk
అంగీకరించిందనీ	1.0	అం గీ క రిం చిం ద నీ 
అంగీకరించింది	1.0	అం గీ క రిం చిం ది 
అంగీకరించినట్లు	1.0	అం గీ క రిం చి నట్ లు 
అంగీకరించినట్లుగా	1.0	అం గీ క రిం చి నట్ లు గా 
అంగీకరించే	1.0	అం గీ క రిం చే 
అంగీకరించేది	1.0	అం గీ క రిం చే ది 
అంగీకరిస్తామని	1.0	అం గీ క రిస్ తా మ ని 
అంగీకరిస్తారని	1.0	అం గీ క రిస్ తా ర ని 
అంగీకారంతో	1.0	అం గీ కా రం తో 
అంగీకారంతోనే	1.0	అం గీ కా రం తో నే 
అంగులూరు	1.0	అం గు లూ రు 
అగౌరపరచడమేనని	1.0	అ గౌ ర ప ర చ డ మే న ని 
అగ్గిపుల్ల	1.0	అ గ్గి పు ల్ల 
అగ్ని	1.0	అగ్ ని 
అగ్నిగుండమైంది	1.0	అగ్ ని గుం డ మైం ది 
అగ్నిగుండంలో	1.0	అగ్ ని గుం డం లో 
అగ్నిగోళాలు	1.0	అగ్ ని గో ళా లు 
అగ్నిప్రమాద	1.0	అగ్ నిప్ ర మా ద 
అగ్నిప్రమాదం	1.0	అగ్ నిప్ ర మా దం 
అగ్నిప్రమాదంఅనంతపురం	1.0	అగ్ నిప్ ర మా దం అ నం త పు రం 
అగ్నిప్రమాదంలో	1.0	అగ్ నిప్ ర మా దం లో 
అగ్నిమాపక	1.0	అగ్ ని మా ప క 
అగ్నిమాపకశాఖ	1.0	అగ్ ని మా ప క శా ఖ 
అగ్రకుల	1.0	అగ్ ర కు ల 
అగ్రజ్వలలు	1.0	అగ్ రజ్ వ ల లు 
అగ్రనేత	1.0	అగ్ ర నే త 
అగ్రవర్ణాలకు	1.0	అగ్ ర వర్ ణా ల కు 
అగ్రస్థానంలో	1.0	అగ్ రస్ థా నం లో 
అగ్రహ	1.0	అగ్ ర హ 
అగ్రిగోల్డ్	1.0	అగ్ రి గోల్డ్ 
అఘాయిత్యం	1.0	అ ఘా యిత్ యం 
అఘాయిత్యానికి	1.0	అ ఘా యిత్ యా ని కి 
అఘోరా	1.0	అ ఘో రా 
అఘోరాలు	1.0	అ ఘో రా లు 
అంచనా	1.0	అం చ నా 
అంచనాకు	1.0	అం చ నా కు 
అంచనాతో	1.0	అం చ నా తో 
అంచనాలకు	1.0	అం చ నా ల కు 
అంచనాలను	1.0	అం చ నా ల ను 
అంచనాలు	1.0	అం చ నా లు 
అంచనావేస్తూ	1.0	అం చ నా వేస్ తూ 
అంచును	1.0	అం చు ను 
అచె	1.0	అ చె 
అచెన్న్నాయుడు	1.0	అ చె న్న్నా యు డు 
అచ్చం	1.0	అ చ్చం 
అచ్చంపేట	1.0	అ చ్చం పే ట 
అచ్చు	1.0	అ చ్చు 
అచ్చెన్నా	1.0	అ చ్చె న్నా 
అచ్చెన్నాయుడు	1.0	అ చ్చె న్నా యు డు 
అచ్నెన్నాయుడు	1.0	అచ్ నె న్నా యు డు 
అజంగఢ్	1.0	అ జం గఢ్ 
అంజనాద్రి	1.0	అం జ నాద్ రి 
అజమాయీషి	1.0	అ జ మా యీ షి 
అజయంగా	1.0	అ జ యం గా 
అజయ్	1.0	అ జయ్ 
అంజయ్య	1.0	అం జ య్య 
అజరామని	1.0	అ జ రా మ ని 
అజహరుద్దీన్	1.0	అ జ హ రు ద్దీన్ 
అజాగ్రత్త	1.0	అ జాగ్ ర త్త 
అంజారా	1.0	అం జా రా 
అజింక్యా	1.0	అ జింక్ యా 
అజీమ్	1.0	అ జీమ్ 
అజ్ఞాతంలో	1.0	అజ్ ఞా తం లో 
అజ్ఞాతంలోకి	1.0	అజ్ ఞా తం లో కి 
అజ్ఞాతవాసంగా	1.0	అజ్ ఞా త వా సం గా 
అజ్యింకె	1.0	అజ్ యిం కె 
అటకెక్కిచిన	1.0	అ ట కె క్కి చి న 
అటగాడు	1.0	అ ట గా డు 
అంటరాని	1.0	అం ట రా ని 
అంటరానితనానికి	1.0	అం ట రా ని త నా ని కి 
అటల్	1.0	అ టల్ 
అటవీ	1.0	అ ట వీ 
అటాప్సీ	1.0	అ టాప్ సీ 
అంటారన్నారట	1.0	అం టా ర న్నా ర ట 
అంటారా	1.0	అం టా రా 
అంటారు	1.0	అం టా రు 
అటార్నీ	1.0	అ టార్ నీ 
అంటి	1.0	అం టి 
అంటించండని	1.0	అం టిం చం డ ని 
అంటించుకొని	1.0	అం టిం చు కొ ని 
అటు	1.0	అ టు 
అంటుకుంటుంది	1.0	అం టు కుం టుం ది 
అంటుకుని	1.0	అం టు కు ని 
అంటుకున్నట్టుగా	1.0	అం టు కు న్న ట్టు గా 
అటుంచి	1.0	అ టుం చి 
అంటుండంలోని	1.0	అం టుం డం లో ని 
అంటుందా	1.0	అం టుం దా 
అంటుంది	1.0	అం టుం ది 
అంటునారు	1.0	అం టు నా రు 
అంటున్న	1.0	అం టు న్న 
అటున్నట్లు	1.0	అ టు న్నట్ లు 
అంటున్నా	1.0	అం టు న్నా 
అంటున్నాడు	1.0	అం టు న్నా డు 
అంటున్నాయి	1.0	అం టు న్నా యి 
అంటున్నాయీ	1.0	అం టు న్నా యీ 
అంటున్నారని	1.0	అం టు న్నా ర ని 
అంటున్నారు	1.0	అం టు న్నా రు 
అంటుంన్నారు	1.0	అం టుం న్నా రు 
అంటున్నారో	1.0	అం టు న్నా రో 
అంటున్నావని	1.0	అం టు న్నా వ ని 
అటువంటప్పుడు	1.0	అ టు వం ట ప్పు డు 
అటువంటి	1.0	అ టు వం టి 
అటువంటిదే	1.0	అ టు వం టి దే 
అటువంటిదేమీ	1.0	అ టు వం టి దే మీ 
అటువైపు	1.0	అ టు వై పు 
అటువైపే	1.0	అ టు వై పే 
అంటువ్యాధులు	1.0	అం టువ్ యా ధు లు 
అటూ	1.0	అ టూ 
అంటూ	1.0	అం టూ 
అంటూనే	1.0	అం టూ నే 
అంటే	1.0	అం టే 
అంటేనే	1.0	అం టే నే 
అటోలో	1.0	అ టో లో 
అట్టకక్కించి	1.0	అ ట్ట క క్కిం చి 
అట్టడుగున	1.0	అ ట్ట డు గు న 
అట్టహాసంగా	1.0	అ ట్ట హా సం గా 
అట్టాడ	1.0	అ ట్టా డ 
అట్టుడుకుతోంది	1.0	అ ట్టు డు కు తోం ది 
అట్లాగ్	1.0	అట్ లాగ్ 
అట్లూరి	1.0	అట్ లూ రి 
అట్లెటికో	1.0	అట్ లె టి కో 
అట్లెటిక్క్	1.0	అట్ లె టిక్క్ 
అడగడానికి	1.0	అ డ గ డా ని కి 
అడగను	1.0	అ డ గ ను 
అడగలేదని	1.0	అ డ గ లే ద ని 
అండగా	1.0	అం డ గా 
అడగాలని	1.0	అ డ గా ల ని 
అడగాలన్నదానిపై	1.0	అ డ గా ల న్న దా ని పై 
అడగాలో	1.0	అ డ గా లో 
అడగొచ్చు	1.0	అ డ గొ చ్చు 
అడగ్గా	1.0	అ డ గ్గా 
అండదండలు	1.0	అం డ దం డ లు 
అడనివాల్సిన	1.0	అ డ ని వాల్ సి న 
అడపాదడపా	1.0	అ డ పా ద డ పా 
అండమాన్	1.0	అం డ మాన్ 
అండర్సన్	1.0	అం డర్ సన్ 
అడవి	1.0	అ డ వి 
అడవిలేదని	1.0	అ డ వి లే ద ని 
అడవిలోకి	1.0	అ డ వి లో కి 
అడవుల	1.0	అ డ వు ల 
అడవులు	1.0	అ డ వు లు 
అడవుల్లో	1.0	అ డ వు ల్లో 
అడవుల్లోని	1.0	అ డ వు ల్లో ని 
అడాసియన్	1.0	అ డా సి యన్ 
అడిగాడు	1.0	అ డి గా డు 
అడిగామని	1.0	అ డి గా మ ని 
అడిగారని	1.0	అ డి గా ర ని 
అడిగారు	1.0	అ డి గా రు 
అడిగి	1.0	అ డి గి 
అడిగితే	1.0	అ డి గి తే 
అడిగింది	1.0	అ డి గిం ది 
అడిగిన	1.0	అ డి గి న 
అడిగినప్పుడు	1.0	అ డి గి న ప్పు డు 
అడిగే	1.0	అ డి గే 
అడిగేవాడట	1.0	అ డి గే వా డ ట 
అడుగంటడంతో	1.0	అ డు గం ట డం తో 
అడుగంటి	1.0	అ డు గం టి 
అడుగంటిన	1.0	అ డు గం టి న 
అండుగంటిపోతున్నాయని	1.0	అం డు గం టి పో తు న్నా య ని 
అడుగంటిపోవడంతో	1.0	అ డు గం టి పో వ డం తో 
అడుగడుగునా	1.0	అ డు గ డు గు నా 
అడుగు	1.0	అ డు గు 
అడుగుతాయని	1.0	అ డు గు తా య ని 
అడుగుతారు	1.0	అ డు గు తా రు 
అడుగుతున్నాం	1.0	అ డు గు తు న్నాం 
అడుగుతున్నామని	1.0	అ డు గు తు న్నా మ ని 
అడుగుతున్నారని	1.0	అ డు గు తు న్నా ర ని 
అడుగుతున్నారు	1.0	అ డు గు తు న్నా రు 
అడుగుదూరంలో	1.0	అ డు గు దూ రం లో 
అడుగుపెట్టగలిగామని	1.0	అ డు గు పె ట్ట గ లి గా మ ని 
అడుగుపెట్టలేని	1.0	అ డు గు పె ట్ట లే ని 
అడుగుపెట్టలేవని	1.0	అ డు గు పె ట్ట లే వ ని 
అడుగుల	1.0	అ డు గు ల 
అడుగులకు	1.0	అ డు గు ల కు 
అడుగులు	1.0	అ డు గు లు 
అండ్	1.0	అండ్ 
అడ్డం	1.0	అ డ్డం 
అడ్డంకి	1.0	అ డ్డం కి 
అడ్డంకిగా	1.0	అ డ్డం కి గా 
అడ్డంకులను	1.0	అ డ్డం కు ల ను 
అడ్డంకులు	1.0	అ డ్డం కు లు 
అడ్డంగా	1.0	అ డ్డం గా 
అడ్డగించి	1.0	అ డ్డ గిం చి 
అడ్డగిస్తున్నారని	1.0	అ డ్డ గిస్ తు న్నా ర ని 
అడ్డదారిగా	1.0	అ డ్డ దా రి గా 
అడ్డదారుల్లో	1.0	అ డ్డ దా రు ల్లో 
అడ్డాగా	1.0	అ డ్డా గా 
అడ్డు	1.0	అ డ్డు 
అడ్డుకట్ట	1.0	అ డ్డు క ట్ట 
అడ్డుకుంటామని	1.0	అ డ్డు కుం టా మ ని 
అడ్డుకుంటామన్న	1.0	అ డ్డు కుం టా మ న్న 
అడ్డుకుంటున్నదని	1.0	అ డ్డు కుం టు న్న ద ని 
అడ్డుకుంటున్నామని	1.0	అ డ్డు కుం టు న్నా మ ని 
అడ్డుకుంటున్నారని	1.0	అ డ్డు కుం టు న్నా ర ని 
అడ్డుకుంటున్నారే	1.0	అ డ్డు కుం టు న్నా రే 
అడ్డుకుంటే	1.0	అ డ్డు కుం టే 
అడ్డుకుని	1.0	అ డ్డు కు ని 
అడ్డుకునే	1.0	అ డ్డు కు నే 
అడ్డుకునేందుకు	1.0	అ డ్డు కు నేం దు కు 
అడ్డుకున్న	1.0	అ డ్డు కు న్న 
అడ్డుకున్నారని	1.0	అ డ్డు కు న్నా ర ని 
అడ్డుకున్నారు	1.0	అ డ్డు కు న్నా రు 
అడ్డుకొనే	1.0	అ డ్డు కొ నే 
అడ్డుకోకపోవడం	1.0	అ డ్డు కో క పో వ డం 
అడ్డుకోవడం	1.0	అ డ్డు కో వ డం 
అడ్డుకోవడంతో	1.0	అ డ్డు కో వ డం తో 
అడ్డుకోవడమే	1.0	అ డ్డు కో వ డ మే 
అడ్డుకోవడానికి	1.0	అ డ్డు కో వ డా ని కి 
అడ్డుగా	1.0	అ డ్డు గా 
అడ్డుగోడలను	1.0	అ డ్డు గో డ ల ను 
అడ్డుగోడలుగానే	1.0	అ డ్డు గో డ లు గా నే 
అడ్డుతగిలారు	1.0	అ డ్డు త గి లా రు 
అడ్డుపడినా	1.0	అ డ్డు ప డి నా 
అడ్డుపడుతున్నాడంటూ	1.0	అ డ్డు ప డు తు న్నా డం టూ 
అడ్డుపడుతున్నారనే	1.0	అ డ్డు ప డు తు న్నా ర నే 
అడ్డుపడేందుకు	1.0	అ డ్డు ప డేం దు కు 
అడ్డుపుల్ల	1.0	అ డ్డు పు ల్ల 
అడ్డుపెట్టుకుని	1.0	అ డ్డు పె ట్టు కు ని 
అడ్డుపెట్టుకొని	1.0	అ డ్డు పె ట్టు కొ ని 
అడ్డూఅదుపూ	1.0	అ డ్డూ అ దు పూ 
అణగదొక్కే	1.0	అ ణ గ దొ క్కే 
అణచ	1.0	అ ణ చ 
అణచి	1.0	అ ణ చి 
అణచివేయాలని	1.0	అ ణ చి వే యా ల ని 
అణచివేశారని	1.0	అ ణ చి వే శా ర ని 
అణచివేసేందుకు	1.0	అ ణ చి వే సేం దు కు 
అణచివేస్తూ	1.0	అ ణ చి వేస్ తూ 
అణా	1.0	అ ణా 
అణిచివేసే	1.0	అ ణి చి వే సే 
అణు	1.0	అ ణు 
అణుపార్కు	1.0	అ ణు పార్ కు 
అణువిద్యుత్	1.0	అ ణు విద్ యుత్ 
అణువిద్యుత్కేంద్రాల	1.0	అ ణు విద్ యుత్ కేంద్ రా ల 
అణ్వస్త్ర	1.0	అణ్ వస్త్ ర 
అణ్వాయుధ	1.0	అణ్ వా యు ధ 
అంత	1.0	అం త 
అంతం	1.0	అం తం 
అంతక	1.0	అం త క 
అంతకంటే	1.0	అం త కం టే 
అంతకు	1.0	అం త కు 
అంతకుముందు	1.0	అం త కు ముం దు 
అంతగనం	1.0	అం త గ నం 
అంతగా	1.0	అం త గా 
అంతటా	1.0	అం త టా 
అంతటి	1.0	అం త టి 
అంతటినీ	1.0	అం త టి నీ 
అతడి	1.0	అ త డి 
అతడికి	1.0	అ త డి కి 
అతడిని	1.0	అ త డి ని 
అతడిపై	1.0	అ త డి పై 
అతడు	1.0	అ త డు 
అతడెవరో	1.0	అ త డె వ రో 
అతడే	1.0	అ త డే 
అతడ్ని	1.0	అ తడ్ ని 
అంతంత	1.0	అం తం త 
అతనన్నాడు	1.0	అ త న న్నా డు 
అతని	1.0	అ త ని 
అతనికి	1.0	అ త ని కి 
అతనితో	1.0	అ త ని తో 
అతనితోనే	1.0	అ త ని తో నే 
అతనిని	1.0	అ త ని ని 
అతనిపై	1.0	అ త ని పై 
అతనిలోని	1.0	అ త ని లో ని 
అతను	1.0	అ త ను 
అతనూ	1.0	అ త నూ 
అతనే	1.0	అ త నే 
అతన్ని	1.0	అ త న్ని 
అంతమేర	1.0	అం త మే ర 
అంతమొందించాలని	1.0	అం త మొం దిం చా ల ని 
అంతరాత్మ	1.0	అం త రాత్ మ 
అంతరాయం	1.0	అం త రా యం 
అంతరాల్లో	1.0	అం త రా ల్లో 
అంతరాష్ట్ర	1.0	అం త రాష్ట్ ర 
అంతరిక్ష	1.0	అం త రిక్ ష 
అంతరిక్షం	1.0	అం త రిక్ షం 
అంతరిక్షంలోకి	1.0	అం త రిక్ షం లో కి 
అంతరించి	1.0	అం త రిం చి 
అంతరించిపోతున్న	1.0	అం త రిం చి పో తు న్న 
అంతర్గత	1.0	అం తర్ గ త 
అంతర్గతంగా	1.0	అం తర్ గ తం గా 
అంతర్జాతీయ	1.0	అం తర్ జా తీ య 
అంతర్యం	1.0	అం తర్ యం 
అతలాకుతలమయ్యాయి	1.0	అ త లా కు త ల మ య్యా యి 
అంతలోనే	1.0	అం త లో నే 
అంతస్తుల	1.0	అం తస్ తు ల 
అంతస్తులో	1.0	అం తస్ తు లో 
అంతస్తులోని	1.0	అం తస్ తు లో ని 
అంతస్తులోనుంచి	1.0	అం తస్ తు లో నుం చి 
అంతస్తుల్లో	1.0	అం తస్ తు ల్లో 
అంతస్థుల	1.0	అం తస్ థు ల 
అంతా	1.0	అం తా 
అతి	1.0	అ తి 
అతిగా	1.0	అ తి గా 
అతిథి	1.0	అ తి థి 
అతిథిగా	1.0	అ తి థి గా 
అతిథులని	1.0	అ తి థు ల ని 
అతిథులు	1.0	అ తి థు లు 
అతిథులుగా	1.0	అ తి థు లు గా 
అతిధి	1.0	అ తి ధి 
అతిపెద్ద	1.0	అ తి పె ద్ద 
అతిపెద్దది	1.0	అ తి పె ద్ద ది 
అతిపెద్దదిగా	1.0	అ తి పె ద్ద ది గా 
అంతిమ	1.0	అం తి మ 
అంతిమంగా	1.0	అం తి మం గా 
అంతిమయాత్ర	1.0	అం తి మ యాత్ ర 
అంతిరెడ్డి	1.0	అం తి రె డ్డి 
అతిశయోక్తి	1.0	అ తి శ యోక్ తి 
అతీతంగా	1.0	అ తీ తం గా 
అతీతులు	1.0	అ తీ తు లు 
అంతు	1.0	అం తు 
అంతుచిక్కని	1.0	అం తు చి క్క ని 
అంతుచూస్తానని	1.0	అం తు చూస్ తా న ని 
అంతుబట్టడం	1.0	అం తు బ ట్ట డం 
అంతులేని	1.0	అం తు లే ని 
అంతెత్తు	1.0	అం తె త్తు 
అంతే	1.0	అం తే 
అంతేకాక	1.0	అం తే కా క 
అంతేకాకుండా	1.0	అం తే కా కుం డా 
అంతేకాద	1.0	అం తే కా ద 
అంతేకాదు	1.0	అం తే కా దు 
అంతేకాని	1.0	అం తే కా ని 
అంతేగాక	1.0	అం తే గా క 
అంతేనా	1.0	అం తే నా 
అత్త	1.0	అ త్త 
అత్తగారి	1.0	అ త్త గా రి 
అత్తగారింట్లో	1.0	అ త్త గా రింట్ లో 
అత్తమామలతో	1.0	అ త్త మా మ ల తో 
అత్తమామలు	1.0	అ త్త మా మ లు 
అత్తమామలేనని	1.0	అ త్త మా మ లే న ని 
అత్తవారి	1.0	అ త్త వా రి 
అత్తవారింట్లోకి	1.0	అ త్త వా రింట్ లో కి 
అత్తా	1.0	అ త్తా 
అత్తాకోడళ్ల	1.0	అ త్తా కో డళ్ ల 
అత్తామామలను	1.0	అ త్తా మా మ ల ను 
అత్తామామలు	1.0	అ త్తా మా మ లు 
అత్తింటి	1.0	అ త్తిం టి 
అత్తింటికి	1.0	అ త్తిం టి కి 
అత్తింటివారు	1.0	అ త్తిం టి వా రు 
అంత్యక్రియల	1.0	అంత్ యక్ రి య ల 
అంత్యక్రియలకు	1.0	అంత్ యక్ రి య ల కు 
అంత్యక్రియలను	1.0	అంత్ యక్ రి య ల ను 
అంత్యక్రియలు	1.0	అంత్ యక్ రి య లు 
అంత్యక్రియల్లో	1.0	అంత్ యక్ రి య ల్లో 
అత్యంత	1.0	అత్ యం త 
అత్యతమ	1.0	అత్ య త మ 
అత్యధిక	1.0	అత్ య ధి క 
అత్యధికంగా	1.0	అత్ య ధి కం గా 
అత్యరం	1.0	అత్ య రం 
అత్యవసర	1.0	అత్ య వ స ర 
అత్యవసరంగా	1.0	అత్ య వ స రం గా 
అత్యవసరాలేమిటో	1.0	అత్ య వ స రా లే మి టో 
అత్యా	1.0	అత్ యా 
అత్యాచార	1.0	అత్ యా చా ర 
అత్యాచారం	1.0	అత్ యా చా రం 
అత్యాచారయత్నానికి	1.0	అత్ యా చా ర యత్ నా ని కి 
అత్యాచారానికి	1.0	అత్ యా చా రా ని కి 
అత్యాచారాలకు	1.0	అత్ యా చా రా ల కు 
అత్యాచారాలు	1.0	అత్ యా చా రా లు 
అత్యాధునిక	1.0	అత్ యా ధు ని క 
అత్యావశ్యంగా	1.0	అత్ యా వశ్ యం గా 
అత్యాశకు	1.0	అత్ యా శ కు 
అత్యుత్తమ	1.0	అత్ యు త్త మ 
అత్యుత్తమం	1.0	అత్ యు త్త మం 
అత్యుత్తమంగా	1.0	అత్ యు త్త మం గా 
అత్యుత్తమైందని	1.0	అత్ యు త్త మైం ద ని 
అత్యుత్సాహంతో	1.0	అత్ యుత్ సా హం తో 
అత్యున్నత	1.0	అత్ యు న్న త 
అథవాలే	1.0	అ థ వా లే 
అథారిటిని	1.0	అ థా రి టి ని 
అథారిటీలను	1.0	అ థా రి టీ ల ను 
అథ్లెట్	1.0	అథ్ లెట్ 
అథ్లెట్ల	1.0	అథ్ లెట్ ల 
అందక	1.0	అం ద క 
అందకనే	1.0	అం ద క నే 
అందకపోగా	1.0	అం ద క పో గా 
అందకపోతే	1.0	అం ద క పో తే 
అందకపోవడంతో	1.0	అం ద క పో వ డం తో 
అందకారమయ్యే	1.0	అం ద కా ర మ య్యే 
అందకుండా	1.0	అం ద కుం డా 
అందంగా	1.0	అం దం గా 
అందగానే	1.0	అం ద గా నే 
అందచేసి	1.0	అం ద చే సి 
అందచేసిన	1.0	అం ద చే సి న 
అందజేయనున్నారు	1.0	అం ద జే య ను న్నా రు 
అందజేశాడు	1.0	అం ద జే శా డు 
అందజేశామని	1.0	అం ద జే శా మ ని 
అందజేశాయి	1.0	అం ద జే శా యి 
అందజేశారు	1.0	అం ద జే శా రు 
అందజేసారు	1.0	అం ద జే సా రు 
అందజేసింది	1.0	అం ద జే సిం ది 
అందజేసిన	1.0	అం ద జే సి న 
అందజేస్తం	1.0	అం ద జేస్ తం 
అందజేస్తారు	1.0	అం ద జేస్ తా రు 
అందజేస్తున్నారు	1.0	అం ద జేస్ తు న్నా రు 
అందజేస్తే	1.0	అం ద జేస్ తే 
అందటంలేదని	1.0	అం ద టం లే ద ని 
అందడం	1.0	అం ద డం 
అందడంతో	1.0	అం ద డం తో 
అందడంలో	1.0	అం ద డం లో 
అదంతా	1.0	అ దం తా 
అదనంగా	1.0	అ ద నం గా 
అదనపు	1.0	అ ద న పు 
అందని	1.0	అం ద ని 
అదను	1.0	అ ద ను 
అందనున్నదన్నారు	1.0	అం ద ను న్న ద న్నా రు 
అందబాటులోకి	1.0	అం ద బా టు లో కి 
అందమైన	1.0	అం ద మై న 
అందరం	1.0	అం ద రం 
అందరి	1.0	అం ద రి 
అందరికి	1.0	అం ద రి కి 
అందరికీ	1.0	అం ద రి కీ 
అందరితో	1.0	అం ద రి తో 
అందరినీ	1.0	అం ద రి నీ 
అందరిపై	1.0	అం ద రి పై 
అందరిపైనా	1.0	అం ద రి పై నా 
అందరిలో	1.0	అం ద రి లో 
అందరివాడని	1.0	అం ద రి వా డ ని 
అందరు	1.0	అం ద రు 
అందరూ	1.0	అం ద రూ 
అందర్నీ	1.0	అం దర్ నీ 
అందలేదని	1.0	అం ద లే ద ని 
అందలేదనీ	1.0	అం ద లే ద నీ 
అందలేదు	1.0	అం ద లే దు 
అందానికి	1.0	అం దా ని కి 
అందాల	1.0	అం దా ల 
అందాలు	1.0	అం దా లు 
అందాల్సిందేనన్నారు	1.0	అం దాల్ సిం దే న న్నా రు 
అది	1.0	అ ది 
అంది	1.0	అం ది 
అదికారులకు	1.0	అ ది కా రు ల కు 
అదిగో	1.0	అ ది గో 
అందించ	1.0	అం దిం చ 
